Location;Urban_fabric;Grassland;Forest;Vineyards;Water;Crops_Oilseed&Grain
Urban;75,89547772;8,430040868;13,78227744;0,988622616;0,688136751;0,215444602
Suburban;54,66067439;6,302689265;33,15821567;0,111191604;5,730843948;0,020254614
Forest;1,027988731;0,654131386;97,42891353;0,062231189;0;0,826735162
Vineyard;14,94873906;16,56717917;8,582724773;57,99485995;0,803786296;1,090771722
